Timestamp, Position (X, Y, Z), Rotation (X, Y, Z, W)
2.742448, 0, 3.442, 13.78599, 0, 0, 0, 1
2.750734, 0, 3.442, 13.81224, 0, 0, 0, 1
2.767294, 0, 3.442, 13.85367, 0, 0, 0, 1
2.776966, 0, 3.442, 13.93647, 0, 0, 0, 1
2.782857, 0, 3.442, 13.98484, 0, 0, 0, 1
2.789123, 0, 3.442, 14.01429, 0, 0, 0, 1
2.794028, 0, 3.442, 14.04562, 0, 0, 0, 1
2.800617, 0, 3.442, 14.07014, 0, 0, 0, 1
2.806445, 0, 3.442, 14.10309, 0, 0, 0, 1
2.811735, 0, 3.442, 14.13223, 0, 0, 0, 1
2.818129, 0, 3.442, 14.15868, 0, 0, 0, 1
2.824785, 0, 3.442, 14.19065, 0, 0, 0, 1
2.832294, 0, 3.442, 14.22393, 0, 0, 0, 1
2.837677, 0, 3.442, 14.26147, 0, 0, 0, 1
2.842863, 0, 3.442, 14.28839, 0, 0, 0, 1
2.849414, 0, 3.442, 14.31432, 0, 0, 0, 1
2.855339, 0, 3.442, 14.34708, 0, 0, 0, 1
2.861192, 0, 3.442, 14.3767, 0, 0, 0, 1
2.866508, 0, 3.442, 14.40596, 0, 0, 0, 1
2.872479, 0, 3.442, 14.43255, 0, 0, 0, 1
2.879273, 0, 3.442, 14.4624, 0, 0, 0, 1
2.885346, 0, 3.442, 14.49637, 0, 0, 0, 1
2.891495, 0, 3.442, 14.52674, 0, 0, 0, 1
2.897675, 0, 3.442, 14.55748, 0, 0, 0, 1
2.904676, 0, 3.442, 14.58838, 0, 0, 0, 1
2.922717, 0, 3.442, 14.62339, 0, 0, 0, 1
2.93203, 0, 3.442, 14.71359, 0, 0, 0, 1
2.937612, 0, 3.442, 14.76016, 0, 0, 0, 1
2.944734, 0, 3.442, 14.78806, 0, 0, 0, 1
2.950758, 0, 3.442, 14.82368, 0, 0, 0, 1
2.956127, 0, 3.442, 14.8538, 0, 0, 0, 1
2.962555, 0, 3.442, 14.88064, 0, 0, 0, 1
2.968634, 0, 3.442, 14.91278, 0, 0, 0, 1
2.974687, 0, 3.442, 14.94317, 0, 0, 0, 1
2.981056, 0, 3.442, 14.97344, 0, 0, 0, 1
2.986372, 0, 3.442, 15.00529, 0, 0, 0, 1
